시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
제주특별자치도,제주시,한식,신미국밥,064-784-9995,제주특별자치도 제주시 구좌읍 김녕로 108,순대국밥,9000,해물순두부,9000,한치물회,12000,,
제주특별자치도,제주시,한식,우리두리,064-782-5442,제주특별자치도 제주시 구좌읍 김녕로 173,고등어구이,13000,우럭조림,15000,,,,
제주특별자치도,제주시,한식,소라횟집,064-784-3545,"제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3, 1층",우럭매운탕,13000,활우럭조림,13000,,,,
제주특별자치도,제주시,한식,옛날통닭닭치고족치고함덕점,064-784-1752,"제주특별자치도 제주시 조천읍 함와로 54, 1층",양념통닭,15000,후라이드,14000,옛날통닭,11000,,
제주특별자치도,제주시,기타요식업,토닥토닥,064-702-9219,"제주특별자치도 제주시 관덕로15길 7, 2층(일도일동)",흑돼지 안심,7000,흑돼지 등심,8000,우동,5000,,
제주특별자치도,제주시,한식,광주빛고을,064-723-1553,"제주특별자치도 제주시 동광로5길 8, 1층(이도일동)",아귀찜 소,28000,알내장찜 소,28000,,,,
제주특별자치도,제주시,미용업,이경민헤어스토리,064-723-2234,"제주특별자치도 제주시 중앙로 247, 2층(이도이동)",일반커트,10000,뿌리염색,28000,,,,
제주특별자치도,제주시,한식,왕왕순대국밥몸국,0507-1424-2283,"제주특별자치도 제주시 무근성7길 20, 1층(삼도이동)",순대국밥,6000,몸국,6000,,,,
제주특별자치도,제주시,한식,시민명가,064-702-0782,제주특별자치도 제주시 남성로26길 46(삼도이동),동태탕,7000,동태내장탕,8000,,,,
제주특별자치도,제주시,한식,김희선제주몸국,064-745-0047,"제주특별자치도 제주시 어영길 45-6, 1층(용담삼동)",몸국,9000,고사리육개장,9000,고등어구이,10000,,
제주특별자치도,제주시,기타요식업,삼복당,064-752-2475,제주특별자치도 제주시 용담일동 135-15,단팥빵,900,크림빵,900,소보루빵,900,,
제주특별자치도,제주시,한식,청풍국수,064-726-1484,"제주특별자치도 제주시 진남로6길 40, 1층(화북일동)",고기국수,8000,멸치국수,7000,,,,
제주특별자치도,제주시,한식,공주네국수,064-722-4533,"제주특별자치도 제주시 삼봉로 353, 1층(봉개동)",물만두,5000,고기국수,8000,,,,
제주특별자치도,제주시,한식,산내들,064-702-0885,제주특별자치도 제주시 서광로4길 16(오라일동),정식,7000,동태탕,8000,갈비탕,8000,,
제주특별자치도,제주시,한식,금악 똣똣라면,,제주특별자치도 제주시 한림읍 금악로 18,똣똣라면(오리지널),6500,똣똣라면(순한맛),6500,,,,
